lat,lon,value
52.08227700020784,21.124598000246092,21.54
52.09830362336577,21.040840040804135,20.2
52.115724999926094,21.237297000309777,33.56
52.143305279528015,21.066756115283162,35.519999999999996
52.16077200027042,21.033818999839358,18.85
52.18847400000076,21.176233000182215,22.34
52.19172800020462,20.83748900008589,22.818
52.207742000168864,20.906072999577745,26.32
52.207899,21.148612,35.34
52.21929800005291,21.004723999701287,22.419999999999998
52.224002,20.935344,34.739999999999995
52.238607,20.990778,35.239999999999995
52.285073000210836,20.933017999762576,26.72
52.29086399994045,21.04245800001037,16.544
